Job Title,Total Cash Compensation,Base Pay,Overtime,Year,HourlyRate,Hours Worked Overtime,Stress Level,Job Title Encoded
Police Lieutenant,261500.14,113429.6,88869.99,2023,54.533461538461545,1629.64146219329,High Stress,57
Police Sergeant,261411.21,163342.4,61334.55,2023,78.53,781.0333630459697,High Stress,61
Police Sergeant,261189.22,166028.0,60214.39,2023,79.82115384615385,754.3663189341556,High Stress,61
Police Officer,261130.47,151673.6,80145.07,2023,72.92,1099.0821448162371,High Stress,58
Fire Captain,261119.13,180574.29,68894.66,2023,86.81456250000001,793.5841409095392,High Stress,26
Police Officer,260772.17,151673.6,75403.43,2023,72.92,1034.0569116840372,High Stress,58
Police Officer,260720.07,151673.6,79734.67,2023,72.92,1093.454059243006,High Stress,58
Police Officer,260644.57,151673.6,78912.75,2023,72.92,1082.1825287986835,High Stress,58
Fire Engineer,260315.94,157370.85,100323.67,2023,75.6590625,1325.9967370068853,High Stress,27
Fire Captain,260289.55,180574.29,77093.84,2023,86.81456250000001,888.0288949218627,High Stress,26
Police Officer,260200.01,142414.4,98397.54,2023,68.46846153846154,1437.1221112471771,High Stress,58
Police Sergeant,260175.81,173021.6,50632.83,2023,83.18346153846154,608.6886631495721,High Stress,61
Police Officer,260012.52,151673.6,79027.12,2023,72.92,1083.7509599561163,High Stress,58
Battalion Chief,260003.68,202677.09,48937.33,2023,97.44090865384615,502.22571480575334,High Stress,10
Police Sergeant,259892.21,169512.0,55506.67,2023,81.49615384615385,681.0955778941903,High Stress,61
Police Officer,259720.9,140344.0,92687.88,2023,67.47307692307692,1373.7016929829563,High Stress,58
Fire Captain,259652.17,178033.89,69686.68,2023,85.59321634615385,814.1612498609112,High Stress,26
Battalion Chief,259630.66,219521.43,37437.81,2023,105.53914903846153,354.72912507904124,High Stress,10
Police Sergeant,259408.59,157579.2,68128.95,2023,75.75923076923077,899.2824941362819,High Stress,61
Police Sergeant,259207.46,172732.8,57489.59,2023,83.04461538461538,692.2735415624594,High Stress,61
Police Sergeant,259093.99,175562.4,50306.66,2023,84.405,596.015164978378,High Stress,61
Police Officer,258862.79,145725.6,80768.46,2023,70.06038461538462,1152.84065943115,High Stress,58
Police Officer,258823.0,151673.6,77150.94,2023,72.92,1058.0216675809106,High Stress,58
Police Sergeant,258811.49,155264.0,70921.27,2023,74.64615384615385,950.0994538334708,High Stress,61
Police Sergeant,258777.22,169184.8,48050.53,2023,81.33884615384615,590.7451638681489,High Stress,61
Police Sergeant,258748.94,89502.4,40750.64,2023,43.029999999999994,947.0285847083431,High Stress,61
Police Sergeant,258678.6,175562.4,52538.98,2023,84.405,622.4628872697116,High Stress,61
Police Officer,258271.32,151673.6,81077.76,2023,72.92,1111.8727372462972,High Stress,58
Police Officer,258205.95,142414.4,83011.05,2023,68.46846153846154,1212.398352975542,High Stress,58
Battalion Chief,257336.37,222704.14,9740.41,2023,107.06929807692309,90.9729509294259,Medium Stress,10
Police Sergeant,257111.0,163342.4,66315.93,2023,78.53,844.4661912644848,High Stress,61
Fire Captain,257104.75,180574.29,73909.04,2023,86.81456250000001,851.343805366755,High Stress,26
Police Sergeant,257103.91,175562.4,41878.94,2023,84.405,496.1665778093715,High Stress,61
Police Sergeant,257056.58,173676.0,52693.29,2023,83.49807692307692,631.0718993988806,High Stress,61
Fire Engineer,257004.75,157370.85,99139.02,2023,75.6590625,1310.3389960720172,High Stress,27
Police Officer,256807.05,151673.6,71393.31,2023,72.92,979.0634942402633,High Stress,58
Battalion Chief,256763.87,225079.66,27645.01,2023,108.211375,255.47231055884833,Medium Stress,10
Police Officer,256666.0,151673.6,79472.44,2023,72.92,1089.857926494789,High Stress,58
Police Officer,256603.44,151673.6,65395.37,2023,72.92,896.8097915523862,High Stress,58
Police Officer,256434.04,149497.6,73580.92,2023,71.87384615384616,1023.7509739286784,High Stress,58
Police Officer,256230.41,151673.6,66986.03,2023,72.92,918.6235600658255,High Stress,58
Fire Engineer,256077.21,144830.79,90270.69,2023,69.6301875,1296.4303736795193,High Stress,27
Police Officer,255821.0,147288.0,78547.54,2023,70.81153846153846,1109.2477540600728,High Stress,58
Police Sergeant,255609.27,175562.4,31508.52,2023,84.405,373.30158165985426,High Stress,61
Police Officer,255271.3,151673.6,78077.74,2023,72.92,1070.7314865606145,High Stress,58
Police Officer,255267.69,144739.2,78289.85,2023,69.58615384615385,1125.0779885476775,High Stress,58
Police Officer,255220.5,151673.6,63716.04,2023,72.92,873.7800329127812,High Stress,58
Fire Engineer,255114.44,157370.85,96648.71,2023,75.6590625,1277.4241023671157,High Stress,27
Police Officer,255031.45,144456.0,84111.97,2023,69.45,1211.115478761699,High Stress,58
Fire Captain,254972.52,178033.89,70772.89,2023,85.59321634615385,826.8516247103289,High Stress,26
Police Officer,254872.4,149497.6,80355.93,2023,71.87384615384616,1118.0134958688298,High Stress,58
Fire Engineer,254765.34,157370.85,91594.83,2023,75.6590625,1210.6260238157192,High Stress,27
Police Officer,254623.78,145872.0,86506.75,2023,70.13076923076923,1233.506361741801,High Stress,58
Police Sergeant,254613.83,154047.4,74782.76,2023,74.06125,1009.742071596145,High Stress,61
Fire Captain,254501.56,180574.29,53144.35,2023,86.81456250000001,612.1593943412431,High Stress,26
Police Officer,254230.43,144739.2,89797.7,2023,69.58615384615385,1290.4535606110853,High Stress,58
Police Officer,253880.62,140344.0,96070.75,2023,67.47307692307692,1423.8382830758708,High Stress,58
Police Officer,253609.5,151673.6,64448.92,2023,72.92,883.8304991771804,High Stress,58
Police Sergeant,253599.59,155264.0,66169.62,2023,74.64615384615385,886.4437963726298,High Stress,61
Police Officer,253510.45,151673.6,73481.85,2023,72.92,1007.7050191991224,High Stress,58
Fire Fighter,253449.41,133680.38,99426.27,2023,64.26941346153846,1547.02314281273,High Stress,28
Fire Engineer,253377.43,157370.85,84597.63,2023,75.6590625,1118.142720840613,High Stress,27
Police Officer,253313.24,145305.6,83949.05,2023,69.85846153846154,1201.701957804792,High Stress,58
Police Sergeant,253141.21,173676.0,37744.29,2023,83.49807692307692,452.0378359704277,High Stress,61
Police Officer,252834.01,151673.6,86958.3,2023,72.92,1192.516456390565,High Stress,58
Police Officer,252797.49,144739.2,78659.62,2023,69.58615384615385,1130.3918330348654,High Stress,58
Fire Fighter,252782.71,141772.54,82773.03,2023,68.159875,1214.3952728786549,High Stress,28
Police Officer,252328.65,142414.4,86814.77,2023,68.46846153846154,1267.952690177398,High Stress,58
Police Officer,252319.99,120492.0,108440.15,2023,57.92884615384615,1871.9542542243469,High Stress,58
Police Sergeant,252088.33,175562.4,41325.0,2023,84.405,489.60369646347965,High Stress,61
Police Officer,252075.63,151673.6,74882.07,2023,72.92,1026.907158529896,High Stress,58
Police Officer,251994.74,135673.6,92300.01,2023,65.22769230769231,1415.0433157224397,High Stress,58
Police Sergeant,251879.16,175562.4,46883.67,2023,84.405,555.4608139328238,High Stress,61
Police Sergeant,251808.99,175562.4,39471.34,2023,84.405,467.64220129139267,High Stress,61
Police Lieutenant,251787.57,179690.4,37002.69,2023,86.38961538461538,428.3233561726169,High Stress,57
Fire Captain,251644.33,180628.21,56875.34,2023,86.84048557692307,654.9403728243777,High Stress,26
Police Officer,251373.38,151673.6,69843.57,2023,72.92,957.8108886450906,High Stress,58
Police Officer,251172.28,151673.6,59517.0,2023,72.92,816.1958310477235,High Stress,58
Police Officer,251090.2,127972.0,101423.46,2023,61.525,1648.4918325883789,High Stress,58
Police Officer,250961.94,151673.6,80865.49,2023,72.92,1108.9617388919364,High Stress,58
Police Officer,250950.9,151673.6,61242.58,2023,72.92,839.8598464070215,High Stress,58
Police Officer,250803.99,151673.6,70363.67,2023,72.92,964.9433625891387,High Stress,58
Police Officer,250799.4,144739.2,94168.03,2023,69.58615384615385,1353.2581525944595,High Stress,58
Fire Engineer,250724.77,157370.85,73805.01,2023,75.6590625,975.4946408435868,High Stress,27
